created_at,transaction_id,store_id,user_id,original_amount,final_amount
2024-01-01 10:07:17,bb95f837-d7e3-4251-a99a-5f152748fd78,1,,78.0,78.0
2024-01-01 10:09:13,3b4cc1e2-6d69-4b12-bd41-1e115cf0a37e,2,,78.0,78.0
2024-01-01 10:09:29,af10a85a-7e6f-45e8-88db-5f6292ff5e18,7,,75.0,75.0
2024-01-01 10:12:13,48f20dc3-f4b0-497f-9e91-e87f79dbd6f1,3,,75.0,75.0
2024-01-01 10:14:22,ee80909a-33ab-48b0-85bc-c0b1b01b1874,7,,81.0,81.0
2024-01-01 10:17:13,b1e73a37-2503-4b2f-839b-2f47db04cbfc,5,,76.5,76.5
2024-01-01 10:24:18,66e866a6-688b-4f61-8112-528236ff3296,10,,78.0,78.0
2024-01-01 10:24:34,b66942aa-2116-48b6-8bf8-d284a4448f4f,9,,75.0,75.0
2024-01-01 10:29:39,1364b178-b450-4b56-a605-ad774e82ef61,2,,77.0,77.0
2024-01-01 10:29:55,a1a7e6c2-e00f-4021-9ebe-d61a2b4471c3,10,,81.0,81.0
2024-01-01 10:33:35,a21825f8-490d-4a55-94dd-2c52bd22d534,6,,81.0,81.0
2024-01-01 10:34:04,15901455-ee25-41cb-aa0e-e38c9d0739c9,4,12695,75.0,75.0
2024-01-01 10:34:07,12df2ceb-b196-4971-9760-1fa6b2f4182d,3,,75.0,75.0
2024-01-01 10:40:36,af1a5752-9061-4716-bef1-4460ac9feec4,6,,76.5,76.5
2024-01-01 10:41:00,19542585-58f6-4b89-beb4-f8e3444dae62,1,,76.5,76.5
2024-01-01 10:41:03,122ea829-d40f-47a1-8c12-058b312b925b,1,,79.5,79.5
2024-01-01 14:23:46,c1301ec2-d3cd-4769-9e0e-d878d9ed0805,2,,75.0,75.0
2024-01-01 14:27:31,7873eb30-4807-4a55-a90b-50c079352e9d,5,,76.5,76.5
2024-01-01 14:32:20,fba73c7f-f4cd-49eb-b53b-b29cdd330915,1,,78.0,78.0
2024-01-01 14:39:37,e97f756c-2349-4470-aef2-6039826aff6f,4,,81.0,81.0
2024-01-01 14:40:29,363fed43-a1ee-422f-a828-bdf142e6b573,2,,81.0,81.0
2024-01-01 14:40:43,0aa0ae92-92ec-46f2-90a0-b4103b890618,7,,76.5,76.5
2024-01-01 14:41:15,18a1d229-f2bf-4555-a691-d0bcb9d48771,5,,79.5,79.5
2024-01-01 14:41:50,5fa2c7c7-c1cd-4a9e-8653-5b8f9e6ff873,3,,79.5,79.5
2024-01-01 14:56:12,a9ededc9-62e6-4083-a578-c083a43b9a58,9,,81.0,81.0
2024-01-01 14:59:02,413eb2c9-8fd7-4ba5-b60e-e4a97448f276,1,,84.0,84.0
2024-01-01 14:59:44,0423dba9-5012-45a2-abb6-fd4e426ec0f1,1,,81.0,81.0
2024-01-01 15:00:51,55e39a9e-0869-432e-885d-18899c5ccb9d,4,815,77.0,77.0
2024-01-01 15:03:53,ed82165a-2bd3-42f6-a6c0-353c1d8b3941,9,,76.5,76.5
2024-01-01 15:04:05,13d55964-bada-436c-98be-9636c9208fa9,2,,75.0,75.0
2024-01-01 15:07:08,32dd97b9-de1e-43b5-a979-551b204a6616,3,,78.0,78.0
2024-01-01 15:13:08,438d9e25-13b4-451c-80a5-20a7b49c6dad,1,,75.0,75.0
2024-01-01 15:19:07,2aaf33de-5797-4c8a-ab11-96805dea153e,4,,84.0,84.0
2024-01-01 15:27:20,f23b18d1-b1d5-4d7d-80ac-d1b43396462a,6,,79.5,79.5
2024-01-01 15:27:50,685b86ab-f851-4155-ad28-c92594e25052,3,,78.0,78.0
2024-01-01 15:30:25,746f76aa-e0e9-4865-841d-449a34c7c256,8,,78.0,78.0
2024-01-01 15:34:49,50dddbba-1125-4383-973f-ae543fc6ae76,8,,78.0,78.0
2024-01-01 15:39:57,08044021-b503-46d0-93ec-5077cf329bc5,5,,85.5,85.5
2024-01-01 15:41:16,856a258d-5a9b-4dc6-aaeb-e57f3044e59b,9,,82.5,82.5
2024-01-01 15:51:49,6d3b706b-8522-45e5-a6e1-3ff01511b84e,8,,76.5,76.5
2024-01-01 15:53:49,071199eb-c9e5-4b4d-b9cd-50b23562ee5d,5,,76.0,76.0
2024-01-01 15:56:25,5f8446ff-64c5-48e6-94dd-6c77fdec4c40,4,17494,76.5,76.5
2024-01-01 15:56:35,6d4fa1b8-20ec-4d69-8d0a-b5c4abacbf84,4,,79.5,79.5
2024-01-01 15:59:38,343045e5-f57d-47d3-8285-6851a18569c9,10,,75.0,75.0
2024-01-01 16:04:15,49640c54-0c69-44f3-b588-aa4baa18a5de,1,,79.0,79.0
2024-01-01 16:05:36,2ab97b68-c89e-42f7-8bc3-682691f9afb4,2,,75.0,75.0
2024-01-01 16:12:37,ac041629-32cf-47a3-a4a8-9d13f6266d83,6,,78.0,78.0
2024-01-01 16:16:12,16e531bc-ed70-436b-9e88-4f9fdf135758,1,,75.0,75.0
2024-01-01 16:19:09,c7345d08-e347-46a0-a0c7-894858c051e0,6,,77.0,77.0
2024-01-01 16:19:21,1ff0be6e-6975-4192-8551-b4b8d1c69433,9,,78.0,78.0
2024-01-01 16:21:39,2c10b063-e166-4c5b-957f-12143c09fad3,9,,78.0,78.0
2024-01-01 16:28:40,9493189d-1958-4829-ada5-02c17745db25,4,,75.0,75.0
2024-01-01 16:33:54,22e41f08-3cbc-40c7-8a7b-ffb92ad840e6,10,,84.0,84.0
2024-01-01 16:43:48,1309d7a4-f99d-4799-b33c-dbfb451278e5,9,,75.0,75.0
2024-01-01 16:45:38,80d9fa98-8ece-4fcd-9156-4e3b0e2a80c1,10,,77.5,77.5
2024-01-01 16:50:18,5ff94990-12bd-48ce-bc33-c56459b0b1e8,4,,77.0,77.0
2024-01-01 17:58:19,19b7f280-b96e-49c5-9b92-3af9f193937d,7,,76.0,76.0
2024-01-01 18:12:04,6bb8a32d-a591-473a-b3d6-b42dab2cdf65,9,,75.0,75.0
2024-01-01 18:24:40,2b40e469-489c-44d0-8664-350acd23226a,5,,78.0,78.0
2024-01-01 18:32:34,d7080a70-fe6e-4e84-9566-a2534bdffbc1,1,,81.0,81.0
2024-01-01 19:52:21,15159ac9-2ce4-4b3e-b042-a4c6a7e5f1fe,10,,75.5,75.5
2024-01-02 07:04:14,193489a3-c1ae-4ab6-b83d-83548a177030,10,,75.0,75.0
2024-01-02 07:05:51,a165985c-7877-42a2-817c-4a32a589e9cf,6,,79.5,79.5
2024-01-02 07:10:57,78552639-9f6c-4770-81e4-1a710ab1c2be,7,,79.5,79.5
2024-01-02 07:15:54,815c1da8-e6c6-4448-9915-b375e31a7aec,10,,82.5,82.5
2024-01-02 07:25:02,565ca9b5-6512-451f-967f-eb5e3a937139,7,,76.5,76.5
2024-01-02 07:34:50,0c503d3e-0854-435c-8681-1d88d9a7ea6e,5,,76.0,76.0
2024-01-02 08:00:32,e6965bd9-6377-438c-be93-621df7f9d284,4,,78.0,78.0
2024-01-02 08:03:42,dad77bbd-94b4-4256-a4cc-164ee8e9a397,3,,76.5,76.5
2024-01-02 08:07:02,da38a72e-b830-4394-a40a-6897b4d145da,8,,84.0,84.0
2024-01-02 08:12:43,c74ff64e-967e-415d-8a2a-b4529ea11d1a,8,,81.0,81.0
2024-01-02 08:17:38,7fa8fdf8-245e-462a-b44d-2b517f844dff,8,,78.5,78.5
2024-01-02 08:18:20,e6ceacea-8a06-43c5-bdc9-e3a8b4cbe3b4,4,,84.0,84.0
2024-01-02 09:00:51,ababbd02-e8e6-4271-9597-63df7a34f53e,8,,75.0,75.0
2024-01-02 09:04:48,4d367b74-24a2-44b9-bd02-1a4a9e7c8cf6,6,,84.0,84.0
